Seed: 182339442737970
Config String: 172GQMRCgiCAYUBiAEylF0eAh4CCgAACg A9CRcOAAAAAAAACAAyFFBva2Vtb24gUGxhdGludW0gKFUpOopn5uPDOIo==

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF| SPE|SATK|SDEF|ABILITY1    |ABILITY2    |ITEM
  1|BULBASAUR |BUG              |  93|  69|  57|  20|  43|  36|Slow Start  | -          |
  2|IVYSAUR   |BUG              | 118|  88|  73|  25|  55|  46|Slow Start  | -          |
  3|VENUSAUR  |BUG              | 153| 114|  95|  32|  71|  60|Slow Start  | -          |Icy Rock (common), TM51 (rare)
  4|CHARMANDER|BUG              |  86|  12| 101|  14|  74|  22|Inner Focus | -          |
  5|CHARMELEON|BUG              | 113|  16| 132|  18|  97|  29|Inner Focus | -          |
  6|CHARIZARD |BUG              | 149|  21| 174|  24| 128|  38|Inner Focus | -          |King’s Rock (100%)
  7|SQUIRTLE  |WATER            |  60|  23|  69|  46|  81|  34|Stench      | -          |
  8|WARTORTLE |WATER            |  78|  30|  89|  60| 105|  44|Stench      | -          |Mental Herb (rare)
  9|BLASTOISE |WATER            | 102|  39| 116|  78| 137|  57|Stench      | -          |
 10|CATERPIE  |ICE              |  34|  28|  55|  24|  12|  43|Cute Charm  | -          |
 11|METAPOD   |ICE              |  36|  29|  58|  25|  13|  45|Cute Charm  | -          |
 12|BUTTERFREE|ICE              |  67|  54| 108|  47|  24|  84|Cute Charm  | -          |
 13|WEEDLE    |FIRE/BUG         |  32|  44|  32|  33|  29|  25|Cloud Nine  | -          |Black Sludge (rare)
 14|KAKUNA    |FIRE/BUG         |  34|  46|  34|  35|  30|  26|Cloud Nine  | -          |
 15|BEEDRILL  |FIRE/BUG         |  64|  86|  64|  66|  56|  49|Cloud Nine  | -          |TM74 (common), Magnet (rare)
 16|PIDGEY    |FIRE/PSYCHIC     |  22|  88|  24|  11|  26|  81|Klutz       |Keen Eye    |Thunderstone (common), BlackGlasses (rare)
 17|PIDGEOTTO |FIRE/PSYCHIC     |  30| 122|  33|  15|  36| 112|Klutz       |Keen Eye    |
 18|PIDGEOT   |FIRE/PSYCHIC     |  40| 164|  44|  20|  49| 151|Klutz       |Keen Eye    |
 19|RATTATA   |ROCK             |  27|  81|  51|  17|  42|  35|Guts        |Skill Link  |Revival Herb (common), Timer Ball (rare)
 20|RATICATE  |ROCK             |  44| 132|  83|  28|  69|  57|Guts        |Skill Link  |
 21|SPEAROW   |ROCK/FIGHTING    |  42|  22|  70|  41|  31|  54|Leaf Guard  |Limber      |
 22|FEAROW    |ROCK/FIGHTING    |  71|  37| 119|  70|  53|  92|Leaf Guard  |Limber      |
 23|EKANS     |DARK/STEEL       |  22|  61|  13|  29|  81|  83|Simple      | -          |
 24|ARBOK     |DARK/STEEL       |  33|  92|  20|  44| 123| 126|Simple      | -          |
 25|PIKACHU   |WATER/GHOST      |  48|  50|  32|  54|  57|  59|Stench      | -          |X Attack (common), TM70 (rare)
 26|RAICHU    |WATER/GHOST      |  76|  79|  51|  86|  90|  93|Stench      | -          |Expert Belt (common)
 27|SANDSHREW |GRASS            |  68|  15|  74|  17|  76|  50|Limber      | -          |
 28|SANDSLASH |GRASS/STEEL      | 102|  23| 111|  26| 114|  75|Limber      | -          |
 29|NIDORAN♀  |FIRE             |  34|  59|  66|  11|  35|  71|Anger Point | -          |Hyper Potion (rare)
 30|NIDORINA  |FIRE             |  45|  78|  87|  15|  46|  94|Anger Point | -          |
 31|NIDOQUEEN |FIRE             |  61| 106| 118|  20|  62| 127|Anger Point | -          |
 32|NIDORAN♂  |GHOST            |  31|  75|  46|  64|  43|  14|Torrent     | -          |
 33|NIDORINO  |GHOST            |  41| 100|  62|  86|  57|  19|Torrent     | -          |
 34|NIDOKING  |GHOST            |  56| 136|  84| 117|  77|  26|Torrent     | -          |Draco Plate (rare)
 35|CLEFAIRY  |FIGHTING/GROUND  |  91|  45|  19|  70|  58|  40|Simple      |Guts        |
 36|CLEFABLE  |FIGHTING/GROUND  | 133|  66|  28| 103|  85|  59|Simple      |Guts        |
 37|VULPIX    |STEEL            |  44|  47|  34|  57|  27|  91|Pressure    |Aftermath   |Rose Incense (100%)
 38|NINETALES |STEEL            |  74|  79|  57|  96|  45| 153|Pressure    |Aftermath   |Power Weight (100%)
 39|JIGGLYPUFF|ROCK/GROUND      |  51|  38|  50|  58|  19|  54|Gluttony    | -          |
 40|WIGGLYTUFF|ROCK/GROUND      |  80|  60|  79|  91|  30|  85|Gluttony    | -          |Zoom Lens (rare)
 41|ZUBAT     |GROUND           |  67|  42|  26|  48|  50|  12|Clear Body  | -          |Up-Grade (rare)
 42|GOLBAT    |GROUND           | 124|  78|  48|  89|  93|  22|Clear Body  | -          |TM83 (rare)
 43|ODDISH    |FLYING           |  45|  64|  62|  35|  52|  61|Shadow Tag  | -          |Soda Pop (common), Shoal Salt (rare)
 44|GLOOM     |FLYING           |  56|  79|  77|  43|  64|  76|Shadow Tag  | -          |
 45|VILEPLUME |BUG              |  81|  47|  76| 100|  59| 117|Magic Guard |Shell Armor |TM60 (common), Icicle Plate (rare)
 46|PARAS     |GHOST            |  45|  19|  66|  59|  46|  50|Synchronize |Sand Stream |Black Flute (common)
 47|PARASECT  |GHOST            |  64|  27|  94|  84|  65|  71|Synchronize |Sand Stream |
 48|VENONAT   |GRASS/FIGHTING   |  36|  41|  51|  77|  75|  25|Clear Body  |Motor Drive |Poké Doll (100%)
 49|VENOMOTH  |GRASS/FIGHTING   |  53|  60|  75| 114| 111|  37|Clear Body  |Motor Drive |
 50|DIGLETT   |STEEL/ELECTRIC   |  34|  24|  79| 103|  11|  15|Synchronize |Trace       |TM92 (common)
 51|DUGTRIO   |STEEL/ELECTRIC   |  52|  37| 120| 157|  17|  23|Synchronize |Trace       |
 52|MEOWTH    |FIGHTING         |  72|  69|  62|  17|  31|  39|Pressure    | -          |TM62 (common)
 53|PERSIAN   |FIGHTING/ELECTRIC| 109| 105|  94|  26|  47|  59|Pressure    | -          |Big Root (rare)
 54|PSYDUCK   |GRASS            |  56|  38|  36|  71|  96|  23|Swift Swim  |Leaf Guard  |Guard Spec. (common), TM26 (rare)
 55|GOLDUCK   |GRASS            |  88|  59|  56| 111| 150|  36|Swift Swim  |Leaf Guard  |
 56|MANKEY    |ELECTRIC         |  77|  32|  43|  50|  45|  58|Pure Power  | -          |
 57|PRIMEAPE  |ELECTRIC         | 115|  48|  64|  75|  67|  87|Pure Power  | -          |
 58|GROWLITHE |FIGHTING/GHOST   |  77|  57|  65|  73|  40|  39|Poison Point| -          |Silk Scarf (100%)
 59|ARCANINE  |FIGHTING/GHOST   | 122|  90| 103| 115|  63|  62|Poison Point| -          |TM71 (100%)
 60|POLIWAG   |FLYING           |  50|  44|  48|  72|  57|  29|Tinted Lens |Compoundeyes|
 61|POLIWHIRL |FLYING/WATER     |  64|  56|  62|  92|  73|  37|Tinted Lens |Compoundeyes|
 62|POLIWRATH |GHOST            |  69| 104|  98|  19| 102| 107|Volt Absorb |Solid Rock  |Focus Band (rare)
 63|ABRA      |FIRE             |  42|  92|  77|  45|  17|  36|Keen Eye    | -          |
 64|KADABRA   |FIRE             |  54| 119| 100|  58|  22|  47|Keen Eye    | -          |Luck Incense (rare)
 65|ALAKAZAM  |FIRE             |  66| 146| 123|  71|  27|  58|Keen Eye    | -          |
