--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF| SPE|SATK|SDEF|ABILITY1    |ABILITY2    |ABILITY3    |ITEM
  1|Bulbasaur |GRASS/POISON     |  45|  49|  49|  45|  65|  65|Color Change|--          |Swift Swim  |Skull Fossil (dark grass only)
  2|Ivysaur   |GRASS/POISON     |  60|  62|  63|  60|  80|  80|Immunity    |Steadfast   |Natural Cure|Black Sludge (dark grass only)
  3|Venusaur  |GRASS/POISON     |  80|  82|  83|  80| 100| 100|Serene Grace|Flame Body  |Magic Guard |Poison Gem (dark grass only)
  4|Charmander|FIRE             |  39|  52|  43|  65|  60|  50|Multitype   |--          |Sniper      |Meadow Plate (common), Relic Silver (dark grass only)
  5|Charmeleon|FIRE             |  58|  64|  58|  80|  80|  65|Dry Skin    |Heatproof   |Speed Boost |Sharp Beak (dark grass only)
  6|Charizard |FIRE/FLYING      |  78|  84|  78| 100| 109|  85|Suction Cups|--          |Sniper      |Protein (common), Shell Bell (rare), Root Fossil (dark grass only)
  7|Squirtle  |WATER            |  44|  48|  65|  43|  50|  64|Shield Dust |--          |Inner Focus |Magmarizer (dark grass only)
  8|Wartortle |WATER            |  59|  63|  80|  58|  65|  80|Frisk       |Solar Power |Snow Warning|Reaper Cloth (rare)
  9|Blastoise |WATER            |  79|  83| 100|  78|  85| 105|Skill Link  |--          |Multitype   |Splash Plate (dark grass only)
 10|Caterpie  |BUG              |  45|  30|  35|  45|  20|  20|Multitype   |--          |Dry Skin    |Ring Target (dark grass only)
 11|Metapod   |BUG              |  50|  20|  55|  30|  25|  25|Skill Link  |Hustle      |Download    |
 12|Butterfree|BUG/FLYING       |  60|  45|  50|  70|  80|  80|Hydration   |--          |Ice Body    |Life Orb (rare)
 13|Weedle    |BUG/POISON       |  40|  35|  30|  50|  20|  20|Sand Stream |Shadow Tag  |Tinted Lens |Zinc (dark grass only)
 14|Kakuna    |BUG/POISON       |  45|  25|  50|  35|  25|  25|Filter      |--          |Pressure    |Sea Incense (common), Ultra Ball (rare)
 15|Beedrill  |BUG/POISON       |  65|  80|  40|  75|  45|  80|Pure Power  |--          |Air Lock    |
 16|Pidgey    |NORMAL/FLYING    |  40|  45|  40|  56|  35|  35|Ice Body    |Swift Swim  |Filter      |King's Rock (common)
 17|Pidgeotto |NORMAL/FLYING    |  63|  60|  55|  71|  50|  50|Pressure    |--          |Torrent     |Toxic Plate (common), Repeat Ball (rare), Pretty Wing (dark grass only)
 18|Pidgeot   |NORMAL/FLYING    |  83|  80|  75|  91|  70|  70|Synchronize |--          |Limber      |
 19|Rattata   |NORMAL           |  30|  56|  35|  72|  25|  35|Sturdy      |Rock Head   |Sticky Hold |
 20|Raticate  |NORMAL           |  55|  81|  60|  97|  50|  70|Plus        |Sand Veil   |Tinted Lens |
 21|Spearow   |NORMAL/FLYING    |  40|  60|  30|  70|  31|  31|Plus        |--          |Poison Heal |Chesto Berry (dark grass only)
 22|Fearow    |NORMAL/FLYING    |  65|  90|  65| 100|  61|  61|Drought     |Aftermath   |Liquid Ooze |
 23|Ekans     |POISON           |  35|  60|  44|  55|  40|  54|Immunity    |--          |Pickup      |Magmarizer (dark grass only)
 24|Arbok     |POISON           |  60|  85|  69|  80|  65|  79|Damp        |--          |Frisk       |
 25|Pikachu   |ELECTRIC         |  35|  55|  30|  90|  50|  40|Oblivious   |--          |Intimidate  |
 26|Raichu    |ELECTRIC         |  60|  90|  55| 100|  90|  80|Shed Skin   |--          |Torrent     |
 27|Sandshrew |GROUND           |  50|  75|  85|  40|  20|  30|Huge Power  |Plus        |Blaze       |Pass Orb (dark grass only)
 28|Sandslash |GROUND           |  75| 100| 110|  65|  45|  55|Minus       |Pressure    |Water Veil  |
 29|Nidoran♀  |POISON           |  55|  47|  52|  41|  40|  40|Sturdy      |Insomnia    |Wonder Guard|Expert Belt (dark grass only)
 30|Nidorina  |POISON           |  70|  62|  67|  56|  55|  55|Swarm       |--          |Snow Warning|
 31|Nidoqueen |POISON/GROUND    |  90|  82|  87|  76|  75|  85|Anticipation|--          |Illuminate  |
 32|Nidoran♂  |POISON           |  46|  57|  40|  50|  40|  40|Torrent     |Limber      |Air Lock    |Stone Plate (common), Dire Hit (rare), Blue Flute (dark grass only)
 33|Nidorino  |POISON           |  61|  72|  57|  65|  55|  55|No Guard    |--          |Tangled Feet|Muscle Band (dark grass only)
 34|Nidoking  |POISON/GROUND    |  81|  92|  77|  85|  85|  75|Storm Drain |Insomnia    |Run Away    |Quick Powder (common)
 35|Clefairy  |NORMAL           |  70|  45|  48|  35|  60|  65|Pressure    |--          |Suction Cups|
 36|Clefable  |NORMAL           |  95|  70|  73|  60|  85|  90|Poison Heal |Quick Feet  |Early Bird  |Magmarizer (rare), Dire Hit (dark grass only)
 37|Vulpix    |FIRE             |  38|  41|  40|  65|  50|  65|Natural Cure|--          |Drizzle     |Quick Claw (100%)
 38|Ninetales |FIRE             |  73|  76|  75| 100|  81| 100|Minus       |--          |Stench      |Poison Barb (100%)
 39|Jigglypuff|NORMAL           | 115|  45|  20|  20|  45|  25|Static      |--          |Stench      |Dome Fossil (dark grass only)
 40|Wigglytuff|NORMAL           | 140|  70|  45|  45|  75|  50|Early Bird  |--          |Clear Body  |
 41|Zubat     |POISON/FLYING    |  40|  45|  35|  55|  30|  40|Suction Cups|White Smoke |Swarm       |Magmarizer (dark grass only)
 42|Golbat    |POISON/FLYING    |  75|  80|  70|  90|  65|  75|Leaf Guard  |Reckless    |Limber      |Star Piece (common), PP Up (rare)
 43|Oddish    |GRASS/POISON     |  45|  50|  55|  30|  75|  65|Leaf Guard  |--          |Solar Power |HP Up (dark grass only)
 44|Gloom     |GRASS/POISON     |  60|  65|  70|  40|  85|  75|Swarm       |Color Change|Speed Boost |
 45|Vileplume |GRASS/POISON     |  75|  80|  85|  50| 100|  90|Heatproof   |--          |Serene Grace|X Attack (common), Parlyz Heal (rare)
 46|Paras     |BUG/GRASS        |  35|  70|  55|  25|  45|  55|Damp        |--          |Sand Veil   |
 47|Parasect  |BUG/GRASS        |  60|  95|  80|  30|  60|  80|Tangled Feet|Arena Trap  |Battle Armor|Dream Ball (rare), NeverMeltIce (dark grass only)
 48|Venonat   |BUG/POISON       |  60|  55|  50|  45|  40|  55|Marvel Scale|Magic Guard |Heatproof   |
 49|Venomoth  |BUG/POISON       |  70|  65|  60|  90|  90|  75|Effect Spore|--          |Static      |
 50|Diglett   |GROUND           |  10|  55|  25|  95|  35|  45|Quick Feet  |Speed Boost |Flower Gift |Quick Claw (rare)
